iter	Passed	Remaining
697	3711	1605
698	3716	1600
699	3721	1595
700	3727	1589
701	3732	1584
702	3736	1578
703	3741	1573
704	3746	1567
705	3750	1561
706	3755	1556
707	3761	1551
708	3766	1545
709	3771	1540
710	3776	1535
711	3781	1529
712	3786	1524
713	3791	1518
714	3796	1513
715	3801	1507
716	3806	1502
717	3811	1497
718	3816	1491
719	3821	1486
720	3826	1480
721	3830	1475
722	3835	1469
723	3839	1463
724	3844	1458
725	3853	1454
726	3858	1448
727	3863	1443
728	3868	1437
729	3873	1432
730	3878	1427
731	3883	1421
732	3887	1416
733	3892	1410
734	3897	1405
735	3902	1399
736	3907	1394
737	3911	1388
738	3916	1383
739	3921	1377
740	3926	1372
741	3931	1367
742	3936	1361
743	3941	1356
744	3946	1350
745	3949	1344
746	3954	1339
747	3959	1334
748	3964	1328
749	3969	1323
750	3974	1317
751	3979	1312
752	3984	1306
753	3989	1301
754	3997	1297
755	4001	1291
756	4008	1286
757	4013	1281
758	4018	1276
759	4024	1270
760	4029	1265
761	4034	1260
762	4039	1254
763	4044	1249
764	4049	1244
765	4054	1238
766	4060	1233
767	4065	1228
768	4069	1222
769	4074	1217
770	4080	1211
771	4084	1206
772	4089	1200
773	4094	1195
774	4100	1190
775	4105	1185
776	4110	1179
777	4115	1174
778	4121	1169
779	4125	1163
780	4130	1158
781	4135	1152
782	4140	1147
783	4144	1141
784	4149	1136
785	4153	1130
786	4158	1125
787	4163	1120
788	4168	1114
789	4173	1109
790	4178	1104
791	4183	1098
792	4188	1093
793	4193	1088
794	4198	1082
795	4204	1077
796	4209	1072
797	4214	1066
798	4220	1061
799	4224	1056
800	4229	1050
801	4235	1045
802	4240	1040
803	4244	1034
804	4250	1029
805	4256	1024
806	4261	1019
807	4266	1013
808	4271	1008
809	4277	1003
810	4282	997
811	4287	992
812	4292	987
813	4297	981
814	4302	976
815	4306	971
816	4311	965
817	4316	960
818	4322	955
819	4327	949
820	4332	944
821	4337	939
822	4342	933
823	4347	928
824	4353	923
825	4357	918
826	4362	912
827	4368	907
828	4373	902
829	4378	896
830	4383	891
831	4389	886
832	4394	880
833	4399	875
834	4404	870
835	4410	865
836	4415	859
837	4420	854
838	4425	849
839	4430	843
840	4435	838
841	4440	833
842	4445	827
843	4450	822
844	4455	817
845	4461	812
846	4466	806
847	4471	801
848	4476	796
849	4481	790
850	4487	785
851	4492	780
852	4497	774
853	4501	769
854	4506	764
855	4510	758
856	4515	753
857	4521	748
858	4525	742
859	4531	737
860	4536	732
861	4540	726
862	4545	721
863	4550	716
864	4555	711
865	4561	705
866	4566	700
867	4571	695
868	4576	689
869	4581	684
870	4586	679
871	4592	674
872	4597	668
873	4602	663
874	4607	658
875	4613	652
876	4620	648
877	4626	642
878	4631	637
879	4636	632
880	4641	626
881	4647	621
882	4652	616
883	4657	611
884	4662	605
885	4667	600
886	4672	595
887	4677	589
888	4682	584
889	4687	579
890	4693	574
891	4698	568
892	4703	563
893	4709	558
894	4714	553
895	4719	547
896	4724	542
897	4729	537
898	4734	531
899	4739	526
900	4744	521
901	4749	516
902	4754	510
903	4760	505
904	4765	500
905	4771	495
906	4776	489
907	4781	484
908	4786	479
909	4792	473
910	4797	468
911	4802	463
912	4807	458
913	4812	452
914	4817	447
915	4822	442
916	4829	437
917	4834	431
918	4839	426
919	4844	421
920	4849	415
921	4854	410
922	4860	405
923	4865	400
924	4870	394
925	4875	389
926	4880	384
927	4886	379
928	4891	373
929	4896	368
930	4901	363
931	4907	358
932	4912	352
933	4917	347
934	4922	342
935	4927	336
936	4932	331
937	4937	326
938	4942	321
939	4947	315
940	4952	310
941	4957	305
942	4962	299
943	4967	294
944	4972	289
945	4977	284
946	4983	278
947	4987	273
948	4992	268
949	4999	263
950	5004	257
951	5009	252
952	5015	247
953	5020	242
954	5025	236
955	5030	231
956	5035	226
957	5040	220
958	5045	215
959	5050	210
960	5056	205
961	5060	199
962	5065	194
963	5070	189
964	5075	184
965	5080	178
966	5085	173
967	5089	168
968	5094	162
969	5099	157
970	5103	152
971	5108	147
972	5112	141
973	5117	136
974	5122	131
975	5127	126
976	5133	120
977	5138	115
978	5143	110
979	5148	105
980	5153	99
981	5158	94
982	5163	89
983	5168	84
984	5173	78
985	5178	73
986	5184	68
987	5189	63
988	5194	57
989	5199	52
990	5204	47
991	5209	42
992	5214	36
993	5219	31
994	5225	26
995	5230	21
996	5235	15
997	5240	10
998	5245	5
999	5250	0
